Tue Jul 17 10:43:29 2018; ******** IP traffic monitor started ********
Tue Jul 17 10:43:29 2018; TCP; eth0; 356 bytes; from 10.0.2.15:22 to 10.0.2.2:57756; first packet
Tue Jul 17 10:43:29 2018; TCP; eth0; 46 bytes; from 10.0.2.2:57756 to 10.0.2.15:22; first packet
Tue Jul 17 10:43:57 2018; TCP; eth0; 46 bytes; from 10.0.2.2:57788 to 10.0.2.15:22; first packet (SYN)
Tue Jul 17 10:43:57 2018; TCP; eth0; 44 bytes; from 10.0.2.15:22 to 10.0.2.2:57788; first packet (SYN)
Tue Jul 17 10:43:57 2018; UDP; eth0; 67 bytes; from 10.0.2.15:46877 to 10.0.2.3:53
Tue Jul 17 10:43:57 2018; UDP; eth0; 67 bytes; from 10.0.2.3:53 to 10.0.2.15:46877
Tue Jul 17 10:44:05 2018; UDP; eth0; 59 bytes; from 10.0.2.15:49177 to 10.0.2.3:53
Tue Jul 17 10:44:05 2018; UDP; eth0; 96 bytes; from 10.0.2.3:53 to 10.0.2.15:49177
Tue Jul 17 10:44:05 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:05 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:05 2018; UDP; eth0; 73 bytes; from 10.0.2.15:48439 to 10.0.2.3:53
Tue Jul 17 10:44:05 2018; UDP; eth0; 126 bytes; from 10.0.2.3:53 to 10.0.2.15:48439
Tue Jul 17 10:44:06 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:06 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:07 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:07 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:08 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:08 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:09 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:09 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:10 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
